"Rank","City","County","State","Average VantageScore 3.0 Credit Score",""
"464","Mount Vernon","Franklin County","Texas","663",""
"465","Shelbyville","Shelby County","Texas","663",""
"466","Blessing","Matagorda County","Texas","663",""
"467","Hallsville","Harrison County","Texas","663",""
"468","Clyde","Callahan County","Texas","663",""
"469","Palacios","Matagorda County","Texas","663",""
"470","Buna","Jasper County","Texas","662",""
"471","Blue Ridge","Collin County","Texas","662",""
"472","Bangs","Brown County","Texas","662",""
"473","Pickton","Hopkins County","Texas","662",""
"474","San Angelo","Tom Green County","Texas","662",""
"475","Carlsbad","Tom Green County","Texas","662",""
"476","Crowley","Tarrant County","Texas","662",""
"477","Leonard","Fannin County","Texas","662",""
"478","Jewett","Leon County","Texas","662",""
"479","Angleton","Brazoria County","Texas","662",""
"480","Bogata","Red River County","Texas","662",""
"481","Iraan","Pecos County","Texas","662",""
"482","De Kalb","Bowie County","Texas","662",""
"483","Mount Calm","Hill County","Texas","662",""
"484","Bertram","Burnet County","Texas","662",""
"485","Dublin","Erath County","Texas","662",""
"486","Frankston","Anderson County","Texas","662",""
"487","Ozona","Crockett County","Texas","662",""
"488","Atlanta","Cass County","Texas","662",""
"489","Smithville","Bastrop County","Texas","662",""
"490","Godley","Johnson County","Texas","662",""
"491","Walnut Springs","Bosque County","Texas","662",""
"492","Brookston","Lamar County","Texas","662",""
"493","Forney","Kaufman County","Texas","662",""
"494","Burkburnett","Wichita County","Texas","661",""
"495","Covington","Hill County","Texas","661",""
"496","Eddy","McLennan County","Texas","661",""
"497","Ballinger","Runnels County","Texas","661",""
"498","Hawley","Jones County","Texas","661",""
"499","Van Vleck","Matagorda County","Texas","661",""
"500","Purdon","Navarro County","Texas","661",""
"501","Huntsville","Walker County","Texas","661",""
"502","Galveston","Galveston County","Texas","661",""
"503","Crowell","Foard County","Texas","661",""
"504","Bivins","Cass County","Texas","661",""
"505","Clifton","Bosque County","Texas","661",""
"506","Denver City","Yoakum County","Texas","661",""
"507","Onalaska","Polk County","Texas","661",""
"508","Euless","Tarrant County","Texas","661",""
"509","Stafford","Fort Bend County","Texas","661",""
"510","Petersburg","Hale County","Texas","661",""
"511","Groveton","Trinity County","Texas","661",""
"512","Woodsboro","Refugio County","Texas","661",""
"513","Chico","Wise County","Texas","660",""
"514","Diana","Upshur County","Texas","660",""
"515","Blooming Grove","Navarro County","Texas","660",""
"516","Midland","Midland County","Texas","660",""
"517","Livingston","Polk County","Texas","660",""
"518","Willis","Montgomery County","Texas","660",""
"519","Jbsa Lackland","Bexar County","Texas","660",""
"520","Linden","Cass County","Texas","660",""
"521","Boling","Wharton County","Texas","660",""
"522","Kopperl","Bosque County","Texas","660",""
"523","Savoy","Fannin County","Texas","660",""
"524","Seminole","Gaines County","Texas","659",""
"525","Cisco","Eastland County","Texas","659",""
"526","Hockley","Harris County","Texas","659",""
"527","Shamrock","Wheeler County","Texas","659",""
"528","Irving","Dallas County","Texas","659",""
"529","Hutto","Williamson County","Texas","659",""
"530","Brookshire","Waller County","Texas","659",""
"531","Celeste","Hunt County","Texas","659",""
"532","Earth","Lamb County","Texas","659",""
"533","Princeton","Collin County","Texas","658",""
"534","Oakwood","Freestone County","Texas","658",""
"535","Bryan","Brazos County","Texas","658",""
"536","Fairfield","Freestone County","Texas","658",""
"537","Honey Grove","Fannin County","Texas","658",""
"538","Martindale","Guadalupe County","Texas","658",""
"539","Rockdale","Milam County","Texas","658",""
"540","Troy","Bell County","Texas","658",""
"541","Lone Oak","Hunt County","Texas","658",""
"542","Santa Anna","Coleman County","Texas","658",""
"543","Coleman","Coleman County","Texas","658",""
"544","Olton","Lamb County","Texas","658",""
"545","Somerville","Burleson County","Texas","658",""
"546","Point","Rains County","Texas","658",""
"547","Fred","Tyler County","Texas","658",""
"548","Humble","Harris County","Texas","657",""
"549","Vidor","Orange County","Texas","657",""
"550","Port Isabel","Cameron County","Texas","657",""
"551","Trinity","Trinity County","Texas","657",""
"552","Garland","Dallas County","Texas","657",""
"553","El Campo","Wharton County","Texas","657",""
"554","Athens","Henderson County","Texas","657",""
"555","Lockney","Floyd County","Texas","657",""
"556","Orange","Orange County","Texas","657",""
"557","Huntington","Angelina County","Texas","657",""
"558","Como","Hopkins County","Texas","657",""
"559","Van","Van Zandt County","Texas","657",""
"560","Kemp","Kaufman County","Texas","657",""
"561","Tahoka","Lynn County","Texas","656",""
"562","Alvin","Brazoria County","Texas","656",""
"563","Winona","Smith County","Texas","656",""
"564","Bartlett","Williamson County","Texas","656",""
"565","Garrison","Nacogdoches County","Texas","656",""
"566","Elm Mott","McLennan County","Texas","656",""
"567","Gatesville","Coryell County","Texas","656",""
"568","New Boston","Bowie County","Texas","656",""
"569","Abilene","Taylor County","Texas","656",""
"570","Maud","Bowie County","Texas","656",""
"571","Woodville","Tyler County","Texas","656",""
"572","Big Sandy","Upshur County","Texas","656",""
"573","Newark","Wise County","Texas","656",""
"574","Mount Enterprise","Rusk County","Texas","656",""
"575","Dawson","Navarro County","Texas","656",""
"576","Dalhart","Dallam County","Texas","656",""
"577","Gardendale","Ector County","Texas","656",""
"578","Highlands","Harris County","Texas","655",""
"579","Childress","Childress County","Texas","655",""
"580","Hughes Springs","Cass County","Texas","655",""
"581","Fruitvale","Van Zandt County","Texas","655",""
"582","Port Lavaca","Calhoun County","Texas","655",""
"583","Malakoff","Henderson County","Texas","655",""
"584","Chillicothe","Hardeman County","Texas","655",""
"585","Silsbee","Hardin County","Texas","655",""
"586","Brownsboro","Henderson County","Texas","655",""
"587","Naples","Cass County","Texas","655",""
"588","Tyler","Smith County","Texas","655",""
"589","Presidio","Presidio County","Texas","655",""
"590","Bronson","Sabine County","Texas","655",""
"591","Cedar Hill","Dallas County","Texas","655",""
"592","Cuero","DeWitt County","Texas","655",""
"593","Sabinal","Uvalde County","Texas","655",""
"594","Talco","Franklin County","Texas","655",""
"595","Deport","Lamar County","Texas","655",""
"596","Cooper","Delta County","Texas","654",""
"597","Merkel","Taylor County","Texas","654",""
"598","Abernathy","Hale County","Texas","654",""
"599","Denison","Grayson County","Texas","654",""
"600","Dumas","Moore County","Texas","654",""
"601","Cedar Creek","Bastrop County","Texas","654",""
"602","Haskell","Haskell County","Texas","654",""
"603","Stanton","Martin County","Texas","654",""
"604","Greenville","Hunt County","Texas","654",""
"605","Gilmer","Upshur County","Texas","654",""
"606","Leesburg","Camp County","Texas","654",""
"607","Beaumont","Jefferson County","Texas","654",""
"608","Duncanville","Dallas County","Texas","654",""
"609","Queen City","Cass County","Texas","654",""
"610","Sundown","Hockley County","Texas","654",""
"611","Hempstead","Waller County","Texas","654",""
"612","Saratoga","Hardin County","Texas","654",""
"613","Red Oak","Ellis County","Texas","653",""
"614","Mabank","Henderson County","Texas","653",""
"615","Cushing","Nacogdoches County","Texas","653",""
"616","Groesbeck","Limestone County","Texas","653",""
"617","Friona","Parmer County","Texas","653",""
"618","Nolanville","Bell County","Texas","653",""
"619","Wills Point","Van Zandt County","Texas","653",""
"620","Atascosa","Bexar County","Texas","653",""
"621","Seguin","Guadalupe County","Texas","653",""
"622","Frost","Navarro County","Texas","653",""
"623","Knox City","Knox County","Texas","653",""
"624","Electra","Wichita County","Texas","653",""
"625","Simms","Bowie County","Texas","653",""
"626","Naval Air Station Jrb","Tarrant County","Texas","653",""
"627","Batson","Hardin County","Texas","653",""
"628","Hidalgo","Hidalgo County","Texas","653",""
"629","Post","Garza County","Texas","653",""
"630","Jacksboro","Jack County","Texas","652",""
"631","Jasper","Jasper County","Texas","652",""
"632","Cameron","Milam County","Texas","652",""
"633","Rotan","Fisher County","Texas","652",""
"634","Grand Saline","Van Zandt County","Texas","652",""
"635","Odem","San Patricio County","Texas","652",""
"636","Copperas Cove","Coryell County","Texas","652",""
"637","Call","Newton County","Texas","652",""
"638","Lufkin","Angelina County","Texas","652",""
"639","Omaha","Morris County","Texas","652",""
"640","Seadrift","Calhoun County","Texas","652",""
"641","Sulphur Springs","Hopkins County","Texas","652",""
"642","Gary","Panola County","Texas","652",""
"643","Tennessee Colony","Anderson County","Texas","652",""
"644","Plantersville","Grimes County","Texas","652",""
"645","Wichita Falls","Wichita County","Texas","651",""
"646","Lytle","Atascosa County","Texas","651",""
"647","Bloomburg","Cass County","Texas","651",""
"648","Hondo","Medina County","Texas","651",""
"649","Quanah","Hardeman County","Texas","651",""
"650","Rosharon","Brazoria County","Texas","651",""
"651","Taylor","Williamson County","Texas","651",""
"652","Charlotte","Atascosa County","Texas","651",""
"653","Waco","McLennan County","Texas","651",""
"654","Liberty","Liberty County","Texas","651",""
"655","Eden","Concho County","Texas","651",""
"656","Henderson","Rusk County","Texas","651",""
"657","Pittsburg","Camp County","Texas","651",""
"658","Elgin","Bastrop County","Texas","650",""
"659","Pineland","Sabine County","Texas","650",""
"660","Hooks","Bowie County","Texas","650",""
"661","Spurger","Tyler County","Texas","650",""
"662","Madisonville","Madison County","Texas","650",""
"663","Cleveland","Liberty County","Texas","650",""
"664","Itasca","Hill County","Texas","650",""
"665","Mcallen","Hidalgo County","Texas","650",""
"666","Crane","Crane County","Texas","650",""
"667","Corsicana","Navarro County","Texas","650",""
"668","El Paso","El Paso County","Texas","650",""
"669","Hillsboro","Hill County","Texas","650",""
"670","Blum","Hill County","Texas","650",""
"671","Hart","Castro County","Texas","650",""
"672","Tulia","Swisher County","Texas","649",""
"673","Mabank","Kaufman County","Texas","649",""
"674","Anson","Jones County","Texas","649",""
"675","Timpson","Shelby County","Texas","649",""
"676","Hitchcock","Galveston County","Texas","649",""
"677","Palmer","Ellis County","Texas","649",""
"678","Olney","Young County","Texas","649",""
"679","Bedias","Grimes County","Texas","649",""
"680","Beasley","Fort Bend County","Texas","649",""
"681","Dayton","Liberty County","Texas","649",""
"682","Rio Vista","Johnson County","Texas","648",""
"683","Roma","Starr County","Texas","648",""
"684","Teague","Freestone County","Texas","648",""
"685","Victoria","Victoria County","Texas","648",""
"686","Carthage","Panola County","Texas","648",""
"687","Natalia","Medina County","Texas","648",""
"688","Kerens","Navarro County","Texas","648",""
"689","San Antonio","Bexar County","Texas","648",""
"690","Mount Pleasant","Titus County","Texas","648",""
"691","Waskom","Harrison County","Texas","648",""
"692","Rusk","Cherokee County","Texas","648",""
"693","Winters","Runnels County","Texas","647",""
"694","Hubbard","Hill County","Texas","647",""
"695","Navasota","Grimes County","Texas","647",""
"696","Markham","Matagorda County","Texas","647",""
"697","Rio Hondo","Cameron County","Texas","647",""
"698","Sonora","Sutton County","Texas","647",""
"699","Lubbock","Lubbock County","Texas","647",""
"700","Springtown","Parker County","Texas","647",""
"701","Bishop","Nueces County","Texas","647",""
"702","Pasadena","Harris County","Texas","647",""
"703","Midway","Madison County","Texas","647",""
"704","Italy","Ellis County","Texas","647",""
"705","Goodrich","Polk County","Texas","647",""
"706","Ferris","Ellis County","Texas","646",""
"707","Elkhart","Anderson County","Texas","646",""
"708","Tenaha","Shelby County","Texas","646",""
"709","Van Horn","Culberson County","Texas","646",""
"710","Odonnell","Dawson County","Texas","646",""
"711","Bay City","Matagorda County","Texas","646",""
"712","Devine","Medina County","Texas","646",""
"713","Smiley","Gonzales County","Texas","646",""
"714","Converse","Bexar County","Texas","646",""
"715","Brady","McCulloch County","Texas","646",""
"716","Alto","Cherokee County","Texas","646",""
"717","Big Lake","Reagan County","Texas","646",""
"718","Texarkana","Bowie County","Texas","646",""
"719","Vernon","Wilbarger County","Texas","646",""
"720","Fort Hancock","Hudspeth County","Texas","646",""
"721","Brownwood","Brown County","Texas","646",""
"722","Muleshoe","Bailey County","Texas","646",""
"723","Ingleside","San Patricio County","Texas","645",""
"724","Hamlin","Jones County","Texas","645",""
"725","Newton","Newton County","Texas","645",""
"726","Kyle","Hays County","Texas","645",""
"727","Pleasanton","Atascosa County","Texas","645",""
"728","Daingerfield","Morris County","Texas","645",""
"729","Floydada","Floyd County","Texas","645",""
"730","Arlington","Tarrant County","Texas","645",""
"731","Del Rio","Val Verde County","Texas","645",""
"732","Snyder","Scurry County","Texas","645",""
"733","Joaquin","Shelby County","Texas","644",""
"734","Mart","McLennan County","Texas","644",""
"735","Beckville","Panola County","Texas","644",""
"736","Jefferson","Marion County","Texas","644",""
"737","Memphis","Hall County","Texas","644",""
"738","Harleton","Harrison County","Texas","644",""
"739","Edgewood","Van Zandt County","Texas","644",""
"740","Mc Camey","Upton County","Texas","644",""
"741","Cleburne","Johnson County","Texas","644",""
"742","Manor","Travis County","Texas","644",""
"743","Kilgore","Gregg County","Texas","644",""
"744","Corrigan","Polk County","Texas","643",""
"745","Douglassville","Cass County","Texas","643",""
"746","Dimmitt","Castro County","Texas","643",""
"747","Sherman","Grayson County","Texas","643",""
"748","Bovina","Parmer County","Texas","643",""
"749","Uvalde","Uvalde County","Texas","643",""
"750","New Caney","Montgomery County","Texas","643",""
"751","San Marcos","Hays County","Texas","642",""
"752","Morton","Cochran County","Texas","642",""
"753","Borger","Hutchinson County","Texas","642",""
"754","Breckenridge","Stephens County","Texas","642",""
"755","Houston","Harris County","Texas","642",""
"756","Sterling City","Sterling County","Texas","642",""
"757","Rosenberg","Fort Bend County","Texas","642",""
"758","Levelland","Hockley County","Texas","641",""
"759","Monahans","Ward County","Texas","641",""
"760","Ennis","Ellis County","Texas","641",""
"761","Wortham","Freestone County","Texas","641",""
"762","Splendora","Montgomery County","Texas","641",""
"763","Slaton","Lubbock County","Texas","641",""
"764","San Augustine","San Augustine County","Texas","640",""
"765","Pampa","Gray County","Texas","640",""
"766","Anton","Hockley County","Texas","640",""
"767","Nacogdoches","Nacogdoches County","Texas","640",""
"768","Gonzales","Gonzales County","Texas","640",""
"769","Wharton","Wharton County","Texas","640",""
"770","Center","Shelby County","Texas","640",""
"771","Ladonia","Fannin County","Texas","640",""
"772","Baytown","Harris County","Texas","639",""
"773","Venus","Johnson County","Texas","639",""
"774","Jacksonville","Cherokee County","Texas","639",""
"775","Corpus Christi","Nueces County","Texas","639",""
"776","Palestine","Anderson County","Texas","639",""
"777","Diboll","Angelina County","Texas","639",""
"778","Gladewater","Gregg County","Texas","638",""
"779","Harlingen","Cameron County","Texas","638",""
"780","Crockett","Houston County","Texas","638",""
"781","Cotulla","La Salle County","Texas","638",""
"782","Aransas Pass","San Patricio County","Texas","638",""
"783","Colorado City","Mitchell County","Texas","638",""
"784","Kermit","Winkler County","Texas","638",""
"785","Terrell","Kaufman County","Texas","638",""
"786","Karnack","Harrison County","Texas","637",""
"787","Nash","Bowie County","Texas","637",""
"788","Grand Prairie","Dallas County","Texas","637",""
"789","Weslaco","Hidalgo County","Texas","637",""
"790","Desoto","Dallas County","Texas","637",""
"791","Tatum","Rusk County","Texas","637",""
"792","Andrews","Andrews County","Texas","637",""
"793","Anthony","El Paso County","Texas","636",""
"794","Ore City","Upshur County","Texas","636",""
"795","Dallas","Denton County","Texas","636",""
"796","Clint","El Paso County","Texas","636",""
"797","Milford","Ellis County","Texas","636",""
"798","Lockhart","Caldwell County","Texas","636",""
"799","Longview","Gregg County","Texas","636",""
"800","Clute","Brazoria County","Texas","635",""
"801","Orange Grove","Jim Wells County","Texas","635",""
"802","Big Spring","Howard County","Texas","635",""
"803","Fort Worth","Tarrant County","Texas","634",""
"804","Quinlan","Hunt County","Texas","634",""
"805","Clarksville","Red River County","Texas","634",""
"806","Encinal","La Salle County","Texas","634",""
"807","Hale Center","Hale County","Texas","634",""
"808","Kingsville","Kleberg County","Texas","634",""
"809","Stamford","Jones County","Texas","634",""
"810","Chilton","Falls County","Texas","634",""
"811","Plainview","Hale County","Texas","634",""
"812","Port Arthur","Jefferson County","Texas","634",""
"813","Webster","Harris County","Texas","634",""
"814","Galena Park","Harris County","Texas","633",""
"815","Rio Grande City","Starr County","Texas","633",""
"816","Balch Springs","Dallas County","Texas","632",""
"817","Fort Bliss","El Paso County","Texas","632",""
"818","Karnes City","Karnes County","Texas","632",""
"819","Seagraves","Gaines County","Texas","632",""
"820","Eagle Pass","Maverick County","Texas","632",""
"821","Waelder","Gonzales County","Texas","631",""
"822","Mexia","Limestone County","Texas","631",""
"823","Mission","Hidalgo County","Texas","631",""
"824","Paris","Lamar County","Texas","631",""
"825","Luling","Caldwell County","Texas","631",""
"826","Sweetwater","Nolan County","Texas","630",""
"827","Sinton","San Patricio County","Texas","630",""
"828","Lorenzo","Crosby County","Texas","630",""
"829","Mesquite","Dallas County","Texas","630",""
"830","Alvarado","Johnson County","Texas","630",""
"831","La Marque","Galveston County","Texas","630",""
"832","Hereford","Deaf Smith County","Texas","630",""
"833","La Feria","Cameron County","Texas","630",""
"834","Commerce","Hunt County","Texas","630",""
"835","De Berry","Panola County","Texas","630",""
"836","Dallas","Dallas County","Texas","630",""
"837","Mineral Wells","Palo Pinto County","Texas","630",""
"838","Skidmore","Bee County","Texas","630",""
"839","Eagle Lake","Colorado County","Texas","629",""
"840","Bacliff","Galveston County","Texas","629",""
"841","Joshua","Johnson County","Texas","629",""
"842","Premont","Jim Wells County","Texas","629",""
"843","Zapata","Zapata County","Texas","629",""
"844","Keene","Johnson County","Texas","629",""
"845","Lyford","Willacy County","Texas","628",""
"846","Canutillo","El Paso County","Texas","628",""
"847","Gregory","San Patricio County","Texas","628",""
"848","Fabens","El Paso County","Texas","627",""
"849","Los Fresnos","Cameron County","Texas","627",""
"850","Seagoville","Dallas County","Texas","627",""
"851","Kenedy","Karnes County","Texas","627",""
"852","Fort Hood","Coryell County","Texas","627",""
"853","Runge","Karnes County","Texas","627",""
"854","Dale","Caldwell County","Texas","626",""
"855","Overton","Rusk County","Texas","626",""
"856","Refugio","Refugio County","Texas","626",""
"857","Ranger","Eastland County","Texas","626",""
"858","Benavides","Duval County","Texas","626",""
"859","La Pryor","Zavala County","Texas","626",""
"860","Killeen","Bell County","Texas","625",""
"861","Pecos","Reeves County","Texas","625",""
"862","Hearne","Robertson County","Texas","625",""
"863","Coolidge","Limestone County","Texas","624",""
"864","Lamesa","Dawson County","Texas","624",""
"865","Amarillo","Potter County","Texas","624",""
"866","Haltom City","Tarrant County","Texas","623",""
"867","La Joya","Hidalgo County","Texas","623",""
"868","Laredo","Webb County","Texas","623",""
"869","Odessa","Ector County","Texas","623",""
"870","Crosbyton","Crosby County","Texas","623",""
"871","San Juan","Hidalgo County","Texas","622",""
"872","Tye","Taylor County","Texas","622",""
"873","Marshall","Harrison County","Texas","622",""
"874","Robstown","Nueces County","Texas","622",""
"875","Maxwell","Caldwell County","Texas","621",""
"876","Sullivan City","Hidalgo County","Texas","621",""
"877","Littlefield","Lamb County","Texas","621",""
"878","Freer","Duval County","Texas","621",""
"879","Texas City","Galveston County","Texas","621",""
"880","Poteet","Atascosa County","Texas","620",""
"881","Tornillo","El Paso County","Texas","620",""
"882","Elsa","Hidalgo County","Texas","620",""
"883","Somerset","Atascosa County","Texas","620",""
"884","Fresno","Fort Bend County","Texas","619",""
"885","Brownfield","Terry County","Texas","619",""
"886","Channelview","Harris County","Texas","619",""
"887","Freeport","Brazoria County","Texas","619",""
"888","Fort Stockton","Pecos County","Texas","619",""
"889","Brownsville","Cameron County","Texas","619",""
"890","Alamo","Hidalgo County","Texas","619",""
"891","Lone Star","Morris County","Texas","619",""
"892","Ralls","Crosby County","Texas","618",""
"893","Pharr","Hidalgo County","Texas","618",""
"894","Von Ormy","Bexar County","Texas","618",""
"895","Shepherd","San Jacinto County","Texas","618",""
"896","Nixon","Gonzales County","Texas","618",""
"897","South Houston","Harris County","Texas","617",""
"898","Edinburg","Hidalgo County","Texas","617",""
"899","Mathis","San Patricio County","Texas","617",""
"900","Elmendorf","Bexar County","Texas","616",""
"901","San Benito","Cameron County","Texas","616",""
"902","Carrizo Springs","Dimmit County","Texas","612",""
"903","Beeville","Bee County","Texas","612",""
"904","Santa Rosa","Cameron County","Texas","610",""
"905","Bon Wier","Newton County","Texas","610",""
"906","Taft","San Patricio County","Texas","610",""
"907","Del Valle","Travis County","Texas","607",""
"908","Alice","Jim Wells County","Texas","606",""
"909","Donna","Hidalgo County","Texas","606",""
"910","Edcouch","Hidalgo County","Texas","605",""
"911","Houston","Fort Bend County","Texas","603",""
"912","Raymondville","Willacy County","Texas","603",""
"913","Rice","Navarro County","Texas","603",""
"914","Hebbronville","Jim Hogg County","Texas","603",""
"915","Hutchins","Dallas County","Texas","603",""
"916","Asherton","Dimmit County","Texas","603",""
"917","Batesville","Zavala County","Texas","602",""
"918","Bloomington","Victoria County","Texas","601",""
"919","Mercedes","Hidalgo County","Texas","601",""
"920","San Elizario","El Paso County","Texas","601",""
"921","Marlin","Falls County","Texas","600",""
"922","La Villa","Hidalgo County","Texas","596",""
"923","Falfurrias","Brooks County","Texas","593",""
"924","San Diego","Duval County","Texas","593",""
"925","Crystal City","Zavala County","Texas","591",""
"926","Penitas","Hidalgo County","Texas","590",""
"927","Pearsall","Frio County","Texas","589",""
"928","Lancaster","Dallas County","Texas","588",""
"929","Dilley","Frio County","Texas","583",""
"930","Wilmer","Dallas County","Texas","579",""
"931","Cactus","Moore County","Texas","570",""
